source_id,recording_id,source_recording_id,mean_intensity_db,max_intensity_db,min_intensity_db,intensity_sd_db,dynamic_range_db,peak_level_dbfs,peak_intensity_db,intensity_threshold_db,average_speech_db,average_noise_db,provenance
ccost_2026,ccost_2026::ccost_S19_INT_2,ccost_S19_INT_2,76.64,84.77,52.64,4.88,32.13,0.26,85.46,60.46,76.17,57.6,CCOST_metadata.csv source row 129
ccost_2026,ccost_2026::ccost_S19_INT_3,ccost_S19_INT_3,77.84,85.21,54.19,4.55,31.01,0.1,88.74,63.74,77.88,59.47,CCOST_metadata.csv source row 130
ccost_2026,ccost_2026::ccost_S19_INT_4,ccost_S19_INT_4,77.92,84.98,58.13,3.95,26.85,0.06,86.86,61.86,77.48,58.33,CCOST_metadata.csv source row 131
ccost_2026,ccost_2026::ccost_S19_WL_1,ccost_S19_WL_1,75.39,84.19,53.22,7.23,30.98,0.07,84.54,59.54,75.21,57.82,CCOST_metadata.csv source row 132
ccost_2026,ccost_2026::ccost_S19_WL_2,ccost_S19_WL_2,74.66,84.46,54.02,7.45,30.44,0.13,85.08,60.08,75.08,57.88,CCOST_metadata.csv source row 133
ccost_2026,ccost_2026::ccost_S19_WL_3,ccost_S19_WL_3,76.75,85.27,55.14,6.22,30.12,0.04,85.44,60.44,76.18,58.47,CCOST_metadata.csv source row 134
ccost_2026,ccost_2026::ccost_S19_WL_4,ccost_S19_WL_4,73.81,83.22,53.53,6.94,29.69,0.05,84.66,59.66,73.62,57.84,CCOST_metadata.csv source row 135
ccost_2026,ccost_2026::ccost_S19_ST_1,ccost_S19_ST_1,76.88,84.26,59.93,5.24,24.32,0.03,85.55,60.55,76.29,57.58,CCOST_metadata.csv source row 136
ccost_2026,ccost_2026::ccost_S19_ST_2,ccost_S19_ST_2,77,84.34,59.74,4.89,24.6,0.02,84.63,59.63,76.35,57.72,CCOST_metadata.csv source row 137
ccost_2026,ccost_2026::ccost_S19_ST_3,ccost_S19_ST_3,75.49,83.94,57.32,5.62,26.62,0.008,84.13,59.13,74.71,57.64,CCOST_metadata.csv source row 138
ccost_2026,ccost_2026::ccost_S20_INT_1,ccost_S20_INT_1,57.56,70.93,45.79,4.67,25.14,-13.5,86.52,61.52,64.01,55.16,CCOST_metadata.csv source row 139
ccost_2026,ccost_2026::ccost_S20_INT_2,ccost_S20_INT_2,57.97,72.62,44.58,4.68,28.04,-12.81,72.81,47.81,57.4,47.34,CCOST_metadata.csv source row 140
ccost_2026,ccost_2026::ccost_S20_INT_3,ccost_S20_INT_3,57.15,73.29,41.87,4.58,31.43,-11.64,74.27,49.27,57.11,48.33,CCOST_metadata.csv source row 141
ccost_2026,ccost_2026::ccost_S20_INT_4,ccost_S20_INT_4,56.6,67.66,42.92,4.07,24.74,-13.3,72.46,47.46,56.09,46.9,CCOST_metadata.csv source row 142
ccost_2026,ccost_2026::ccost_S20_INT_5,ccost_S20_INT_5,57.5,74.39,44.3,4.49,30.09,-12.19,75.33,50.33,57.68,49.07,CCOST_metadata.csv source row 143
ccost_2026,ccost_2026::ccost_S20_INT_6,ccost_S20_INT_6,56.56,71.53,44.26,4.11,27.27,-14.44,76.87,51.87,57.26,49.91,CCOST_metadata.csv source row 144
ccost_2026,ccost_2026::ccost_S20_INT_7,ccost_S20_INT_7,57.77,69.45,46.09,3.99,23.36,-12.86,74.85,49.85,57.66,49.08,CCOST_metadata.csv source row 145
ccost_2026,ccost_2026::ccost_S20_INT_8,ccost_S20_INT_8,57.67,71.15,45.22,4.65,25.93,-12,73.34,48.34,57.14,47.83,CCOST_metadata.csv source row 146
ccost_2026,ccost_2026::ccost_S20_WL_2,ccost_S20_WL_2,68.74,91.04,53.12,5.87,37.92,-0.02,92.83,67.83,73.45,60.58,CCOST_metadata.csv source row 147
ccost_2026,ccost_2026::ccost_S20_WL_3,ccost_S20_WL_3,66.87,81.9,53.98,5.19,27.92,-2.58,86.02,61.02,67.8,59.25,CCOST_metadata.csv source row 148
