source_id,recording_id,source_recording_id,speaker_id,source_speaker_id,task
ccost_2026,ccost_2026::ccost_S1_INT_1,ccost_S1_INT_1,ccost_2026::S1,1,interview
ccost_2026,ccost_2026::ccost_S1_INT_2,ccost_S1_INT_2,ccost_2026::S1,1,interview
ccost_2026,ccost_2026::ccost_S1_INT_3,ccost_S1_INT_3,ccost_2026::S1,1,interview
ccost_2026,ccost_2026::ccost_S1_INT_4,ccost_S1_INT_4,ccost_2026::S1,1,interview
ccost_2026,ccost_2026::ccost_S1_WL_12,ccost_S1_WL_12,ccost_2026::S1,1,word_list
ccost_2026,ccost_2026::ccost_S1_WL_34,ccost_S1_WL_34,ccost_2026::S1,1,word_list
ccost_2026,ccost_2026::ccost_S1_ST_123,ccost_S1_ST_123,ccost_2026::S1,1,sentence_reading
ccost_2026,ccost_2026::ccost_S2_INT_1,ccost_S2_INT_1,ccost_2026::S2,2,interview
ccost_2026,ccost_2026::ccost_S2_INT_2,ccost_S2_INT_2,ccost_2026::S2,2,interview
ccost_2026,ccost_2026::ccost_S2_INT_3,ccost_S2_INT_3,ccost_2026::S2,2,interview
ccost_2026,ccost_2026::ccost_S2_INT_4,ccost_S2_INT_4,ccost_2026::S2,2,interview
ccost_2026,ccost_2026::ccost_S2_INT_5,ccost_S2_INT_5,ccost_2026::S2,2,interview
ccost_2026,ccost_2026::ccost_S2_INT_6,ccost_S2_INT_6,ccost_2026::S2,2,interview
ccost_2026,ccost_2026::ccost_S2_INT_7,ccost_S2_INT_7,ccost_2026::S2,2,interview
ccost_2026,ccost_2026::ccost_S2_INT_8,ccost_S2_INT_8,ccost_2026::S2,2,interview
ccost_2026,ccost_2026::ccost_S2_INT_9,ccost_S2_INT_9,ccost_2026::S2,2,interview
ccost_2026,ccost_2026::ccost_S2_WL_12,ccost_S2_WL_12,ccost_2026::S2,2,word_list
ccost_2026,ccost_2026::ccost_S2_WL_34,ccost_S2_WL_34,ccost_2026::S2,2,word_list
ccost_2026,ccost_2026::ccost_S2_ST_123,ccost_S2_ST_123,ccost_2026::S2,2,sentence_reading
ccost_2026,ccost_2026::ccost_S3_INT_1,ccost_S3_INT_1,ccost_2026::S3,3,interview
ccost_2026,ccost_2026::ccost_S3_INT_2,ccost_S3_INT_2,ccost_2026::S3,3,interview
ccost_2026,ccost_2026::ccost_S3_INT_3,ccost_S3_INT_3,ccost_2026::S3,3,interview
ccost_2026,ccost_2026::ccost_S3_INT_4,ccost_S3_INT_4,ccost_2026::S3,3,interview
ccost_2026,ccost_2026::ccost_S3_INT_5,ccost_S3_INT_5,ccost_2026::S3,3,interview
ccost_2026,ccost_2026::ccost_S3_INT_6,ccost_S3_INT_6,ccost_2026::S3,3,interview
ccost_2026,ccost_2026::ccost_S3_WL_12,ccost_S3_WL_12,ccost_2026::S3,3,word_list
ccost_2026,ccost_2026::ccost_S3_WL_34,ccost_S3_WL_34,ccost_2026::S3,3,word_list
ccost_2026,ccost_2026::ccost_S3_ST_123,ccost_S3_ST_123,ccost_2026::S3,3,sentence_reading
ccost_2026,ccost_2026::ccost_S4_INT_1,ccost_S4_INT_1,ccost_2026::S4,4,interview
ccost_2026,ccost_2026::ccost_S4_INT_2,ccost_S4_INT_2,ccost_2026::S4,4,interview
ccost_2026,ccost_2026::ccost_S4_INT_3,ccost_S4_INT_3,ccost_2026::S4,4,interview
ccost_2026,ccost_2026::ccost_S4_INT_4,ccost_S4_INT_4,ccost_2026::S4,4,interview
ccost_2026,ccost_2026::ccost_S4_WL_34,ccost_S4_WL_34,ccost_2026::S4,4,word_list
ccost_2026,ccost_2026::ccost_S4_ST_123,ccost_S4_ST_123,ccost_2026::S4,4,sentence_reading
ccost_2026,ccost_2026::ccost_S5_INT_1,ccost_S5_INT_1,ccost_2026::S5,5,interview
ccost_2026,ccost_2026::ccost_S5_INT_2,ccost_S5_INT_2,ccost_2026::S5,5,interview
ccost_2026,ccost_2026::ccost_S5_INT_3,ccost_S5_INT_3,ccost_2026::S5,5,interview
ccost_2026,ccost_2026::ccost_S5_INT_4,ccost_S5_INT_4,ccost_2026::S5,5,interview
ccost_2026,ccost_2026::ccost_S5_WL_12,ccost_S5_WL_12,ccost_2026::S5,5,word_list
ccost_2026,ccost_2026::ccost_S5_WL_34,ccost_S5_WL_34,ccost_2026::S5,5,word_list
ccost_2026,ccost_2026::ccost_S5_ST_123,ccost_S5_ST_123,ccost_2026::S5,5,sentence_reading
ccost_2026,ccost_2026::ccost_S6_INT_1,ccost_S6_INT_1,ccost_2026::S6,6,interview
ccost_2026,ccost_2026::ccost_S6_INT_2,ccost_S6_INT_2,ccost_2026::S6,6,interview
ccost_2026,ccost_2026::ccost_S6_INT_3,ccost_S6_INT_3,ccost_2026::S6,6,interview
ccost_2026,ccost_2026::ccost_S6_INT_4,ccost_S6_INT_4,ccost_2026::S6,6,interview
ccost_2026,ccost_2026::ccost_S6_INT_5,ccost_S6_INT_5,ccost_2026::S6,6,interview
ccost_2026,ccost_2026::ccost_S6_WL_12,ccost_S6_WL_12,ccost_2026::S6,6,word_list
ccost_2026,ccost_2026::ccost_S6_WL_34,ccost_S6_WL_34,ccost_2026::S6,6,word_list
