source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
coretta_italian_vowel_2018_2026,measurements.csv,speaker,speaker_id,participant,Source speaker identifier,,string,,"",source metadata,,speaker,SOURCE,"Namespace downstream as coretta_italian_vowel_2018_2026::source_speaker_id."
coretta_italian_vowel_2018_2026,measurements.csv,ipu,ipu_id,recording_utterance,Source IPU identifier,,string,,"",source annotation,,utterance/IPU,SOURCE,"Retain source string such as ipu_1; do not coerce to integer."
coretta_italian_vowel_2018_2026,measurements.csv,stimulus,stimulus_text,lexical_stimulus,Source sentence/stimulus text,,string,,"",source metadata,,stimulus,SOURCE,"Retain orthography exactly; do not infer IPA."
coretta_italian_vowel_2018_2026,measurements.csv,sentence_ons,sentence_onset_s,interval_landmark,Sentence onset,s,numeric,,--undefined--,manual-corrected alignment,absolute recording time,sentence,SOURCE,"Preserve literal --undefined-- in source-faithful layer; convert only in a separate harmonized field."
coretta_italian_vowel_2018_2026,measurements.csv,sentence_off,sentence_offset_s,interval_landmark,Sentence offset,s,numeric,,--undefined--,manual-corrected alignment,absolute recording time,sentence,SOURCE,"Preserve literal --undefined--."
coretta_italian_vowel_2018_2026,measurements.csv,word_ons,word_onset_s,interval_landmark,Word onset,s,numeric,,--undefined--,manual-corrected alignment,absolute recording time,word,SOURCE,"Existing package dictionary documents this as C1 onset."
coretta_italian_vowel_2018_2026,measurements.csv,word_off,word_offset_s,interval_landmark,Word offset,s,numeric,,--undefined--,manual-corrected alignment,absolute recording time,word,SOURCE,"Existing package dictionary documents this as V2 offset."
coretta_italian_vowel_2018_2026,measurements.csv,v1_ons,vowel1_onset_s,interval_landmark,V1 onset,s,numeric,,--undefined--,manual-corrected alignment,absolute recording time,V1,SOURCE,"Existing package dictionary documents this as C1 offset."
coretta_italian_vowel_2018_2026,measurements.csv,c2_ons,c2_onset_s,interval_landmark,C2 onset,s,numeric,,--undefined--,manual-corrected alignment,absolute recording time,C2,SOURCE,"Existing package dictionary documents this as V1 offset."
coretta_italian_vowel_2018_2026,measurements.csv,v2_ons,vowel2_onset_s,interval_landmark,V2 onset,s,numeric,,--undefined--,manual-corrected alignment,absolute recording time,V2,SOURCE,"Existing package dictionary documents this as C2 offset."
coretta_italian_vowel_2018_2026,measurements.csv,voice_ons,voicing_onset_s,interval_landmark,Voice onset,s,numeric,,--undefined--,manual-corrected acoustic landmark,absolute recording time,voicing,SOURCE,"Retain original variable name and value."
coretta_italian_vowel_2018_2026,measurements.csv,voice_off,voicing_offset_s,interval_landmark,Voice offset,s,numeric,,--undefined--,manual-corrected acoustic landmark,absolute recording time,voicing,SOURCE,"Package documentation has a historical wording discrepancy; mapping follows source formulas while raw name/value remain unchanged."
coretta_italian_vowel_2018_2026,measurements.csv,c1_rel,c1_release_s,interval_landmark,C1 release,s,numeric,,--undefined--,manual-corrected acoustic landmark,absolute recording time,C1,SOURCE,"Retain original variable name and value."
coretta_italian_vowel_2018_2026,measurements.csv,c2_rel,c2_release_s,interval_landmark,C2 release,s,numeric,,--undefined--,manual-corrected acoustic landmark,absolute recording time,C2,SOURCE,"Retain original variable name and value."
