source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
coretta_italian_vowel_2018_2026,data-raw/datasets/stimuli.csv,stimulus_id,source_stimulus_id,stimulus,"Source stimulus identifier",,integer,"1-172",none documented,"Author-supplied experimental stimulus metadata",not applicable,not applicable,"stefanocoretta/coretta2018itaegg blob 32ac81d0d7a8df152645dd20f26cac522c313f1d","Namespace as coretta_italian_vowel_2018_2026::stimulus_id when used relationally"
coretta_italian_vowel_2018_2026,data-raw/datasets/stimuli.csv,stimulus,stimulus_text,stimulus,"Full presented Italian instruction containing the target pseudoword/word",,string,"free text",none documented,"Author-supplied experimental stimulus metadata",not applicable,not applicable,"stefanocoretta/coretta2018itaegg blob 32ac81d0d7a8df152645dd20f26cac522c313f1d","Preserve exact orthography and punctuation"
coretta_italian_vowel_2018_2026,data-raw/datasets/stimuli.csv,sentence,sentence_frame,stimulus,"Sentence frame with target represented as X",,string,"Scrivete X sul foglio; Ha detto X sei volte; Sentivo X di nuovo; Ripete X da sempre",none documented,"Author-supplied experimental stimulus metadata",not applicable,not applicable,"stefanocoretta/coretta2018itaegg blob 32ac81d0d7a8df152645dd20f26cac522c313f1d","Retain source frame wording"
coretta_italian_vowel_2018_2026,data-raw/datasets/stimuli.csv,word,lexical_item,lexical,"Target orthographic item embedded in the sentence frame",,string,"source-defined item forms",none documented,"Author-supplied experimental stimulus metadata",not applicable,not applicable,"stefanocoretta/coretta2018itaegg blob 32ac81d0d7a8df152645dd20f26cac522c313f1d","Do not infer IPA from spelling"
coretta_italian_vowel_2018_2026,data-raw/datasets/stimuli.csv,c1,preceding_segment_label,segment_context,"Source label for consonant preceding the target vowel",,string,"p;t;k",none documented,"Author-supplied phonological-context coding",relative to target vowel,preceding consonant,"stefanocoretta/coretta2018itaegg blob 32ac81d0d7a8df152645dd20f26cac522c313f1d","Source label retained; no IPA normalization asserted"
coretta_italian_vowel_2018_2026,data-raw/datasets/stimuli.csv,vowel,target_vowel_label,segment_context,"Source label for target vowel",,string,"a;e;i;o;u",none documented,"Author-supplied phonological-context coding",target segment,target vowel,"stefanocoretta/coretta2018itaegg blob 32ac81d0d7a8df152645dd20f26cac522c313f1d","Source label retained; no IPA normalization asserted"
coretta_italian_vowel_2018_2026,data-raw/datasets/stimuli.csv,c2,following_segment_label,segment_context,"Source label for consonant following the target vowel",,string,"p;t;k",none documented,"Author-supplied phonological-context coding",relative to target vowel,following consonant,"stefanocoretta/coretta2018itaegg blob 32ac81d0d7a8df152645dd20f26cac522c313f1d","Source label retained; no IPA normalization asserted"
coretta_italian_vowel_2018_2026,data-raw/datasets/stimuli.csv,backness,vowel_backness,phonological_metadata,"Source vowel backness class",,categorical,"central;front;back",none documented,"Author-supplied vowel classification",target vowel,target vowel,"stefanocoretta/coretta2018itaegg blob 32ac81d0d7a8df152645dd20f26cac522c313f1d","Retain source categories separately from any future harmonized feature system"
coretta_italian_vowel_2018_2026,data-raw/datasets/stimuli.csv,height,vowel_height,phonological_metadata,"Source vowel height class",,categorical,"low;mid-high;high;mid-low",none documented,"Author-supplied vowel classification",target vowel,target vowel,"stefanocoretta/coretta2018itaegg blob 32ac81d0d7a8df152645dd20f26cac522c313f1d","Retain source categories separately from any future harmonized feature system"
coretta_italian_vowel_2018_2026,data-raw/datasets/stimuli.csv,c1_place,preceding_consonant_place,phonological_metadata,"Source place class of consonant preceding target vowel",,categorical,"labial;coronal;velar",none documented,"Author-supplied consonant classification",relative to target vowel,preceding consonant,"stefanocoretta/coretta2018itaegg blob 32ac81d0d7a8df152645dd20f26cac522c313f1d","Retain source place labels"
coretta_italian_vowel_2018_2026,data-raw/datasets/stimuli.csv,c2_place,following_consonant_place,phonological_metadata,"Source place class of consonant following target vowel",,categorical,"labial;coronal;velar",none documented,"Author-supplied consonant classification",relative to target vowel,following consonant,"stefanocoretta/coretta2018itaegg blob 32ac81d0d7a8df152645dd20f26cac522c313f1d","Retain source place labels"
