source_id,file_table,original_variable,standardized_variable,variable_domain,description,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,acoustic_or_linguistic_target,provenance,notes
girafe_2024_2025_glottal_imaging,recording metadata,recording_id,recording_id,recording,"Source HSV recording identifier",,string,,,,recording,vocal-fold sequence,"Zenodo 13773163","Namespace with source_id"
girafe_2024_2025_glottal_imaging,recording metadata,participant_id,speaker_id,speaker,"Source participant identifier",,string,,,,recording,participant,"Zenodo 13773163","Namespace as girafe_2024_2025_glottal_imaging::participant_id"
girafe_2024_2025_glottal_imaging,recording metadata,sex,sex_source,demographic,"Reported sex distribution in source metadata",,categorical,"female|male",,,participant,demographic,"Zenodo 13773163","Preserve source terminology"
girafe_2024_2025_glottal_imaging,recording metadata,age,age_years,demographic,"Participant age where supplied",years,numeric,,,,participant,demographic,"Zenodo 13773163","Source reports cohort mean/range; retain individual value only where file metadata provide it"
girafe_2024_2025_glottal_imaging,recording metadata,health_status,clinical_status,clinical_group,"Healthy / diagnosed voice disorder / unknown health status",,categorical,"healthy|disorder|unknown",,,recording,clinical status,"Zenodo 13773163","Do not infer diagnosis for unknown records"
girafe_2024_2025_glottal_imaging,HSV sequence,frame_index,frame_index,temporal_measurement,"Frame number within 502-frame high-speed sequence",frame,integer,"1-502",,,frame,vocal-fold motion,"Zenodo 13773163","Sampling rate 4000 fps permits conversion to elapsed time while preserving original index"
girafe_2024_2025_glottal_imaging,HSV sequence,time,time_s,temporal_measurement,"Elapsed time derived from frame index at 4000 fps",s,numeric,,,derived from acquisition sampling rate,frame,vocal-fold motion,"Zenodo 13773163","Store derived time separately from original frame index"
girafe_2024_2025_glottal_imaging,HSV sequence,image,laryngeal_frame,articulatory_measurement,"Color high-speed videoendoscopic frame",pixel intensity,"256x256 image",,,specialist-acquired HSV,frame,vocal folds/glottis,"Zenodo 13773163","Primary imaging observation"
girafe_2024_2025_glottal_imaging,manual annotation,glottal_mask,manual_glottal_gap_mask,articulatory_annotation,"Expert semantic segmentation mask of glottal gap",pixel label,binary mask,,,expert manual annotation,frame,glottal gap,"Zenodo 13773163 / GIRAFE documentation","Core human-grounded label; keep automatic model masks separate"
girafe_2024_2025_glottal_imaging,derived from manual mask,glottal_area,glottal_area_px,articulatory_measurement,"Glottal-gap area derivable from expert mask",pixels,numeric,,,derived from manual mask,frame,glottal gap,"Derived warehouse view","Do not overwrite source masks; derived geometric measure"
girafe_2024_2025_glottal_imaging,derived from manual mask,glottal_width,glottal_width_px,articulatory_measurement,"Width/geometry measure derivable from expert mask",pixels,numeric,,,derived from manual mask,frame,glottal gap,"Derived warehouse view","Only generate with explicit algorithm/provenance"
girafe_2024_2025_glottal_imaging,recording metadata,phonation_type,production_task,condition,"Sustained vowel phonation; sequences may include vocal onset",,categorical,"sustained vowel",,,recording,phonation task,"Zenodo 13773163","Retain exact vowel label if source files provide one; never infer missing vowel identity"
girafe_2024_2025_glottal_imaging,automatic results,automatic_mask,automatic_glottal_mask,derived_model_output,"Automatic semantic segmentation from released models",pixel label,binary mask,,,Unet/SwinV2 or other released automatic methods,frame,glottal gap,"GIRAFE GitHub/Zenodo","Never treat as human annotation; useful only for validation/benchmarking"
