source_id,file_or_object,role,format,access,license,source_reference,checksum_or_identity,processed_status,lineage_notes
greca_gubian_harrington_2024_lausberg,READ_ME.txt,file inventory/plain-text metadata,txt,public,CC-BY-4.0,https://data.ub.uni-muenchen.de/422/1/READ_ME.txt,,PARSED_METADATA,"Authoritative inventory for both primary and secondary archives"
greca_gubian_harrington_2024_lausberg,Secondary_dataset.zip,public analysis-data archive,zip,public,CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,PENDING_BINARY_PARSE,"2 MB; contains all codes and dataframes used for analyses"
greca_gubian_harrington_2024_lausberg,Primary_dataset.zip,acoustic database + speaker metadata,zip,"restricted until 2039",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,REFERENCE_ONLY_RESTRICTED,"1 GB; do not mirror or count as ingested"
greca_gubian_harrington_2024_lausberg,Primary_dataset/db_emuDB,acoustic database,EMU-SDMS,"inside restricted archive",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,REFERENCE_ONLY_RESTRICTED,"Underlying recordings/segmentation database"
greca_gubian_harrington_2024_lausberg,Primary_dataset/Speakers.xlsx,speaker sociolinguistic metadata,xlsx,"inside restricted archive",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,REFERENCE_ONLY_RESTRICTED,"Speaker metadata; paper appendix supplies speaker codes/age/region/education"
greca_gubian_harrington_2024_lausberg,Secondary_dataset/wordscons.txt,preceding-consonant lookup,txt,"inside public secondary archive",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,PENDING_BINARY_PARSE,"Consonants preceding vowel suffixes"
greca_gubian_harrington_2024_lausberg,"Secondary_dataset/words and phontrig.csv",stimulus stem/suffix-vowel metadata,csv,"inside public secondary archive",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,PENDING_BINARY_PARSE,"Stem and suffix vowel information; retain original labels"
greca_gubian_harrington_2024_lausberg,Secondary_dataset/stem.txt,lexical stem lookup,txt,"inside public secondary archive",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,PENDING_BINARY_PARSE,"Lexical stems"
greca_gubian_harrington_2024_lausberg,Secondary_dataset/Greca_etal_2023_primary.R,dataframe-generation code,R,"inside public secondary archive",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,PENDING_BINARY_PARSE,"Code generating dataframes in data.RData; use to reconstruct source lineage"
greca_gubian_harrington_2024_lausberg,Secondary_dataset/Greca_etal_2023_analyses.Rmd,analysis code,Rmd,"inside public secondary archive",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,PENDING_BINARY_PARSE,"Analysis code; use for variable meanings/units/windows"
greca_gubian_harrington_2024_lausberg,Secondary_dataset/Greca_etal_2023_analyses.html,rendered analysis,html,"inside public secondary archive",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,PENDING_BINARY_PARSE,"Rendered analysis output"
greca_gubian_harrington_2024_lausberg,Secondary_dataset/data.RData,analysis dataframes,RData,"inside public secondary archive",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,PENDING_BINARY_PARSE,"Highest-priority row-level ingest; inventory every object/column before harmonization"
greca_gubian_harrington_2024_lausberg,Secondary_dataset/scripts-for-FPCA,FPCA processing code,R/scripts,"inside public secondary archive",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,PENDING_BINARY_PARSE,"Preserve transformation provenance"
greca_gubian_harrington_2024_lausberg,Secondary_dataset/Greca_etal_2023_analyses_files,analysis figures/assets,directory,"inside public secondary archive",CC-BY-4.0,https://data.ub.uni-muenchen.de/422/,,PENDING_BINARY_INVENTORY,"Inventory but do not treat figures as observations"
