source_id,file_table,original_variable,standardized_variable,variable_domain,description,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,acoustic_or_linguistic_target,provenance,notes
jaeger_daeglau_2026_unscripted_monologues,*_event.tsv,onset,event_onset_s,temporal_measurement,"Onset of annotated event relative to start of audiovisual recording",s,numeric,,,"OCTRA/MAUS-based pipeline with manual correction",recording-relative,event timing,"Zenodo 17578693 + Data in Brief 2026",Preserve raw onset unchanged
jaeger_daeglau_2026_unscripted_monologues,*_event.tsv,duration,event_duration_s,temporal_measurement,"Duration of annotated event relative to event onset",s,numeric,,,"OCTRA/MAUS-based pipeline with manual correction",event-relative,event timing,"Zenodo 17578693 + Data in Brief 2026",Preserve raw duration unchanged
jaeger_daeglau_2026_unscripted_monologues,*_event.tsv,event_type,event_type,annotation,"Main event category",,categorical,"pause|word|phoneme",,"Corrected linguistic annotation pipeline",event,event class,"Zenodo 17578693",Do not reinterpret event class
jaeger_daeglau_2026_unscripted_monologues,*_event.tsv,mau,phonetic_xsampa,segment_annotation,"Phonetic segmentation in X-SAMPA",,string,,,"MAUS phonetic segmentation with manual correction steps in pipeline",event,phonetic segment,"Zenodo 17578693 + Data in Brief 2026",Do not invent IPA; future IPA mapping must retain X-SAMPA original
jaeger_daeglau_2026_unscripted_monologues,*_event.tsv,mas,phonetic_xsampa_syllabified,segment_annotation,"Phonetic segmentation in X-SAMPA with period marking syllable boundaries",,string,,,"MAUS + PHO2SYL pipeline with manual correction steps",event,phonetic segment/syllable,"Zenodo 17578693",Period marks a new syllable
jaeger_daeglau_2026_unscripted_monologues,*_event.tsv,kan,canonical_xsampa,phonological_annotation,"Canonical phonological representation in X-SAMPA",,string,,,"G2P-derived canonical representation",event,canonical phonology,"Zenodo 17578693",Keep distinct from realized phonetic segmentation
jaeger_daeglau_2026_unscripted_monologues,*_event.tsv,kas,canonical_xsampa_syllabified,phonological_annotation,"Canonical X-SAMPA representation with syllable segmentation",,string,,,"G2P + PHO2SYL",event,canonical phonology/syllable,"Zenodo 17578693",Period marks a new syllable
jaeger_daeglau_2026_unscripted_monologues,*_event.tsv,ort,orthographic_token,lexical,"Orthographic representation of event",,string,,,"Orthographic transcription with manual correction for transcription accuracy",event,word/token,"Zenodo 17578693 + Data in Brief 2026",
jaeger_daeglau_2026_unscripted_monologues,*_event.tsv,rftag,pos_tag,lexical,"Part-of-speech tag",,categorical,,,RFTagger,event,POS,"Zenodo 17578693",Automatic lexical annotation; retain automatic provenance
jaeger_daeglau_2026_unscripted_monologues,*_event.tsv,lemma,lemma,lexical,"Base or dictionary form",,string,,,RFTagger-associated lexical pipeline,event,lemma,"Zenodo 17578693",Retain source value
jaeger_daeglau_2026_unscripted_monologues,*_event.tsv,token,word_index,lexical,"Word index starting from 1",,integer,,,repository event-table construction,recording,word order,"Zenodo 17578693",Namespaced recording/take ID required when harmonized
jaeger_daeglau_2026_unscripted_monologues,filename,subject_ID,speaker_id,speaker,"Unique source subject ID 1-6",,integer,"1-6",,repository naming convention,recording,speaker,"Zenodo 17578693","Harmonize as jaeger_daeglau_2026_unscripted_monologues::subject_ID"
jaeger_daeglau_2026_unscripted_monologues,filename,take_num,recording_id,recording,"Running take index",,string,"01|02|...",,repository naming convention,recording,take,"Zenodo 17578693",Combine with namespaced speaker ID
jaeger_daeglau_2026_unscripted_monologues,filename,add_feature,condition,condition,"Optional recording manipulation",,categorical,"MG=babble noise|LS=lipstick|BR=glasses|blank",,experimental recording metadata,recording,condition,"Zenodo 17578693",Retain each code and mapped description separately
