source_id,utterance_id,segment_id,segment_index,original_label,normalized_ipa,relative_start_s,relative_end_s,duration_s,absolute_start_s,absolute_end_s,start_derivation,end_provenance,annotation_scope,source_blob_sha
pavoque,pavoque::m0160,pavoque::m0160::seg001,1,H#,,0.000000,0.465000,0.465000,796.200000,796.665000,previous_source_endpoint_or_utterance_zero,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg002,2,k,,0.465000,0.565000,0.100000,796.665000,796.765000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg003,3,aI,,0.565000,0.755000,0.190000,796.765000,796.955000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg004,4,n,,0.755000,0.805000,0.050000,796.955000,797.005000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg005,5,@,,0.805000,0.940000,0.135000,797.005000,797.140000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg006,6,z,,0.940000,1.055000,0.115000,797.140000,797.255000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg007,7,I,,1.055000,1.140000,0.085000,797.255000,797.340000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg008,8,n,,1.140000,1.215000,0.075000,797.340000,797.415000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg009,9,t,,1.215000,1.292303,0.077303,797.415000,797.492303,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg010,10,f,,1.292303,1.395000,0.102697,797.492303,797.595000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg011,11,l,,1.395000,1.440077,0.045077,797.595000,797.640077,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg012,12,u:,,1.440077,1.573338,0.133261,797.640077,797.773338,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg013,13,t,,1.573338,1.645729,0.072391,797.773338,797.845729,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg014,14,f,,1.645729,1.720000,0.074271,797.845729,797.920000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg015,15,y:,,1.720000,1.801785,0.081785,797.920000,798.001785,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg016,16,6,,1.801785,1.860000,0.058215,798.001785,798.060000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg017,17,n,,1.860000,1.950000,0.090000,798.060000,798.150000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg018,18,o:,,1.950000,2.132788,0.182788,798.150000,798.332788,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg019,19,a:,,2.132788,2.421417,0.288629,798.332788,798.621417,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0160,pavoque::m0160::seg020,20,_,,2.421417,2.935000,0.513583,798.621417,799.135000,previous_source_endpoint,source_end_value,manually_corrected_phone_segmentation,bff79d978f740f6c2b09bc595ade03b6bdf33423
