source_id,utterance_id,segment_id,segment_index,label_original,normalized_ipa,start_rel_s,end_rel_s,duration_s,start_abs_s,end_abs_s,utterance_start_s,utterance_end_s,style,text_original,annotation_method,upstream_blob_sha
pavoque,pavoque::m0191,pavoque::m0191::seg001,1,H#,,0,0.367198,0.367198,919.320000,919.687198,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg002,2,z,,0.367198,0.445,0.077802,919.687198,919.765000,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg003,3,i:,,0.445,0.557552,0.112552,919.765000,919.877552,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg004,4,v,,0.557552,0.605,0.047448,919.877552,919.925000,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg005,5,a:,,0.605,0.697554,0.092554,919.925000,920.017554,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg006,6,6,,0.697554,0.747905,0.050351,920.017554,920.067905,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg007,7,d,,0.747905,0.78135,0.033445,920.067905,920.101350,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg008,8,E,,0.78135,0.847381,0.066031,920.101350,920.167381,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg009,9,6,,0.847381,0.891592,0.044211,920.167381,920.211592,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg010,10,g,,0.891592,0.98501,0.093418,920.211592,920.305010,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg011,11,9,,0.98501,1.08,0.094990,920.305010,920.400000,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg012,12,t,,1.08,1.171046,0.091046,920.400000,920.491046,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg013,13,I,,1.171046,1.225,0.053954,920.491046,920.545000,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg014,14,n,,1.225,1.28,0.055000,920.545000,920.600000,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg015,15,f,,1.28,1.39,0.110000,920.600000,920.710000,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg016,16,R,,1.39,1.5,0.110000,920.710000,920.820000,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg017,17,aI,,1.5,1.685,0.185000,920.820000,921.005000,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg018,18,a:,,1.685,1.78,0.095000,921.005000,921.100000,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg019,19,g,,1.78,1.858399,0.078399,921.100000,921.178399,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg020,20,@,,1.858399,1.96,0.101601,921.178399,921.280000,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg021,21,v,,1.96,2.030029,0.070029,921.280000,921.350029,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg022,22,aI,,2.030029,2.228365,0.198336,921.350029,921.548365,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg023,23,t,,2.228365,2.43407,0.205705,921.548365,921.754070,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0191,pavoque::m0191::seg024,24,_,,2.43407,3.475,1.040930,921.754070,922.795000,919.32,922.8,angry,"Sie war der Göttin Freya geweiht.",manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
