source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
pavoque,pavoque-*.yaml,prompt,source_utterance_id,recording_utterance,Prompt code / audio basename,,string,source-specific prompt codes,,author-provided utterance annotation,utterance,,GitHub YAML,Preserved verbatim
pavoque,pavoque-*.yaml,text,text_original,lexical_stimulus,Orthographic utterance text,,string,free text,,author-provided utterance annotation,utterance,,GitHub YAML,Preserved verbatim
pavoque,pavoque-*.yaml,style,style_original,experimental_condition,Speaking style,,categorical,"angry; happy; neutral; outtakes; poker; sad",,author-provided style label,utterance,,GitHub YAML,Preserved verbatim
pavoque,pavoque-*.yaml,start,utterance_start_s,temporal,Utterance onset in source FLAC,seconds,float,,,author-provided timed annotation,absolute within style FLAC,speech utterance,GitHub YAML,Preserved raw value
pavoque,pavoque-*.yaml,end,utterance_end_s,temporal,Utterance offset in source FLAC,seconds,float,,,author-provided timed annotation,absolute within style FLAC,speech utterance,GitHub YAML,Preserved raw value
pavoque,pavoque-*.yaml,segments,segments,annotation,List of manually corrected phonetic segments,,list,,,manually corrected phonetic segmentation,within utterance,phone sequence,GitHub YAML,Retained as nested source structure before row expansion
pavoque,pavoque-*.yaml,segments[].lab,label_original,segment_annotation,Phonetic segment label based on SAMPA,,string,"SAMPA-like; _ denotes silence; H# appears boundary-related",,manually corrected phonetic segmentation,segment,phone/silence,GitHub YAML,No IPA invented
pavoque,pavoque-*.yaml,segments[].end,segment_end_rel_s,temporal,Segment endpoint relative to utterance start,seconds,float,,,manually corrected phonetic segmentation,relative to utterance start,phone/silence,GitHub YAML,Raw endpoint retained exactly
pavoque,pavoque_angry_utterances_chunk001.csv,utterance_id,utterance_id,identifier,Namespaced utterance identifier,,string,,,database-derived namespacing,utterance,,derived from prompt,source_id::prompt
pavoque,pavoque_angry_utterances_chunk001.csv,utterance_duration_s,utterance_duration_s,temporal,Derived utterance duration,seconds,float,,,end minus start,utterance,speech utterance,derived from raw start/end,Raw start/end retained separately
pavoque,pavoque_angry_segments_chunk001.csv,segment_index,segment_index,identifier,Segment sequence index within utterance,count,integer,,,database-derived enumeration,within utterance,phone/silence,derived from YAML order,1-based
pavoque,pavoque_angry_segments_chunk001.csv,start_rel_s,segment_start_rel_s,temporal,Derived segment onset relative to utterance start,seconds,float,,,previous segment endpoint; first segment starts at 0,relative to utterance start,phone/silence,derived from ordered YAML endpoints,Does not overwrite raw end
pavoque,pavoque_angry_segments_chunk001.csv,end_rel_s,segment_end_rel_s,temporal,Original segment endpoint relative to utterance start,seconds,float,,,manual-corrected endpoint,relative to utterance start,phone/silence,source YAML,Source-faithful value
pavoque,pavoque_angry_segments_chunk001.csv,duration_s,segment_duration_s,temporal,Derived segment duration,seconds,float,,,end minus derived start,segment,phone/silence,derived from ordered YAML endpoints,Separate from raw endpoint
pavoque,source-level,language,language,language,Corpus language,,categorical,German,,corpus metadata,,,repository README,Standard German corpus metadata; no utterance-level variety invented
pavoque,source-level,speaker,source_speaker_id,demographic,Single named male German speaker Stefan Röttig,,string,Stefan Röttig,,corpus metadata,,,repository README,Professional actor and baritone opera singer; corpus speech styles are spoken/non-singing
pavoque,source-level,license,license,provenance_license,Redistribution license,,string,CC-BY-NC-SA-4.0,,repository license,,,GitHub LICENSE/README,Applies to corpus repository data
