source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
rog_slovenian_1_0_1_1_manual_prosody,ROG/METADATA/ROG-speakers.tsv,speaker_id,speaker_id,participant,"source speaker identifier",,string,,,repository metadata,,,SOURCE_METADATA,"namespace as rog_slovenian_1_0_1_1_manual_prosody::source_speaker_id"
rog_slovenian_1_0_1_1_manual_prosody,ROG/METADATA/ROG-speakers.tsv,speaker_metadata,,demographic,"speaker metadata fields supplied by corpus",,mixed,,,repository metadata,,,SOURCE_METADATA,"preserve all original columns verbatim before harmonization"
rog_slovenian_1_0_1_1_manual_prosody,ROG/METADATA/ROG-speeches.tsv,speech_id,recording_id,recording,"recording/speech identifier",,string,,,repository metadata,,,SOURCE_METADATA,"namespace recording identifiers"
rog_slovenian_1_0_1_1_manual_prosody,ROG/METADATA/ROG-speeches.tsv,recording_metadata,,recording,"recording metadata supplied by corpus",,mixed,,,repository metadata,,,SOURCE_METADATA,"preserve all original columns verbatim"
rog_slovenian_1_0_1_1_manual_prosody,ROG-Art/EXB/*.exb.xml,prosodic_unit,prosodic_unit,prosody,"manual prosodic-unit annotation",,categorical,"source-defined labels",,manual EXMARaLDA annotation,"source timeline",prosody,MANUAL_NEW_ROG_LAYER,"retain exact source tier name and label"
rog_slovenian_1_0_1_1_manual_prosody,ROG-Art/EXB/*.exb.xml,disfluency,disfluency_label,prosody,"manual disfluency annotation",,categorical,"source-defined labels",,manual EXMARaLDA annotation,"source timeline",speech fluency,MANUAL_NEW_ROG_LAYER,"retain exact source tier name and label"
rog_slovenian_1_0_1_1_manual_prosody,ROG-Art/EXB/*.exb.xml,dialogue_act,dialogue_act,interaction,"manual dialogue-act annotation",,categorical,"source-defined labels",,manual EXMARaLDA annotation,"source timeline",interaction,MANUAL_NEW_ROG_LAYER,"retain exact source tier name and label"
rog_slovenian_1_0_1_1_manual_prosody,ROG-Art/TeG/*.TextGrid,prosodic_annotation,prosodic_interval,prosody,"Praat TextGrid representation with additional prosodic annotations",seconds,interval,,,manual annotation exported to TextGrid,"interval onset/offset",prosody,MANUAL_NEW_ROG_LAYER,"do not infer segmental IPA from orthographic/transcription tiers"
rog_slovenian_1_0_1_1_manual_prosody,ROG-Art/*.conllu,FORM,transcription_token,transcription,"surface token",,string,,,source transcription/token annotation,,,DERIVED_OR_INHERITED_GOS_LAYER,"retain for linkage but do not count as new manual phonetic annotation"
rog_slovenian_1_0_1_1_manual_prosody,ROG-Art/*.conllu,LEMMA,lemma,linguistic_annotation,"manually assigned lemma",,string,,,manual annotation,,,MANUAL_ROG_LAYER,"linguistic predictor/covariate"
rog_slovenian_1_0_1_1_manual_prosody,ROG-Art/*.conllu,UPOS_XPOS_FEATS_DEPS,,linguistic_annotation,"manual morphosyntactic and Universal Dependencies fields",,mixed,"UD/MULTEXT-East",,manual annotation,,,MANUAL_ROG_LAYER,"preserve source fields separately; not a phonetic outcome"
rog_slovenian_1_0_1_1_manual_prosody,ROG-TrainDevTest-split.tsv,split,dataset_split,dataset,"train/dev/test partition",,categorical,"train/dev/test",,repository supplied,,,SOURCE_METADATA,"retain for reproducibility; not a biological/task predictor"
