source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
ulrich_2022_russian_fricatives,metadata,SentenceNo,sentence_number,stimulus,"Sentence identifier used to locate target fricative",,integer,,,Repository catalogue documentation,,target fricative context,SWISSUbase public catalogue,"Schema documented from repository description; source bytes not accessed"
ulrich_2022_russian_fricatives,metadata,IntervalNo,interval_number,annotation,"Interval number identifying target fricative in TextGrid",,integer,,,Repository catalogue documentation,,target fricative interval,SWISSUbase public catalogue,"Verify exact tier numbering after authorized download"
ulrich_2022_russian_fricatives,metadata,SentenceTyp,sentence_type,condition,"Sentence type; carrier sentence vs non-carrier sentence",,categorical,"CS=carrier sentence; NC=non-carrier sentence",,Repository catalogue documentation,,utterance/stimulus,SWISSUbase public catalogue,
ulrich_2022_russian_fricatives,metadata,Position,target_position,condition,"Target position within carrier sentence",,categorical,"1=X position; 2=Y position",,Repository catalogue documentation,,target word,SWISSUbase public catalogue,
ulrich_2022_russian_fricatives,metadata,fricative position,word_position,phonological_context,"Word-position of target fricative",,categorical,"B=word-initial; M=word-medial; E=word-final",,Repository catalogue documentation,,target fricative,SWISSUbase public catalogue,
ulrich_2022_russian_fricatives,metadata,Sampa,source_transcription_sampa,transcription,"SAMPA transcription of target fricative",,string,,,Repository catalogue documentation,,target fricative,SWISSUbase public catalogue,"Retain source SAMPA exactly"
ulrich_2022_russian_fricatives,metadata,IPA,source_transcription_ipa,transcription,"IPA transcription of target fricative",,string,,,Repository catalogue documentation,,target fricative,SWISSUbase public catalogue,"Retain source IPA exactly; do not infer missing mappings"
ulrich_2022_russian_fricatives,metadata,PrecedingSound,preceding_segment,phonological_context,"Sound preceding target fricative",,string,,,Repository catalogue documentation,,segment context,SWISSUbase public catalogue,"Normalization only after source bytes are available"
ulrich_2022_russian_fricatives,metadata,FollowingSound,following_segment,phonological_context,"Sound following target fricative",,string,,,Repository catalogue documentation,,segment context,SWISSUbase public catalogue,"Normalization only after source bytes are available"
ulrich_2022_russian_fricatives,metadata,Voicing,voicing,phonetic_feature,"Whether target fricative is voiced",,categorical,,,Repository catalogue documentation,,target fricative,SWISSUbase public catalogue,"Verify coding levels from source file"
ulrich_2022_russian_fricatives,metadata,Palatalization,palatalization,phonetic_feature,"Whether target fricative is palatalized",,categorical,,,Repository catalogue documentation,,target fricative,SWISSUbase public catalogue,"Verify coding levels from source file"
