source_id,source_file,n_rows,n_columns,original_variables
chaturvedi_shaw_2025_vowel_errors,chaturvedi_shaw_2025_vowel_errors__Data_Individual_files_ab_ahb_total_pred.csv,15950,23,Unnamed: 0 | p_id | file_name | time | vowel | counter | time_2 | meas_num | F1 | F2 | F3 | midpoint | id | notes | F1_mid | F2_mid | F3_mid | target | pred | error | prod_group | coart_type | diff
chaturvedi_shaw_2025_vowel_errors,chaturvedi_shaw_2025_vowel_errors__Data_Individual_files_eeb_oob_total_pred.csv,16005,23,Unnamed: 0 | p_id | file_name | time | vowel | counter | time_2 | meas_num | F1 | F2 | F3 | midpoint | id | notes | F1_mid | F2_mid | F3_mid | target | pred | error | prod_group | coart_type | diff
chaturvedi_shaw_2025_vowel_errors,chaturvedi_shaw_2025_vowel_errors__Data_Individual_files_ehb_ib_total_pred.csv,15752,23,Unnamed: 0 | p_id | file_name | time | vowel | counter | time_2 | meas_num | F1 | F2 | F3 | midpoint | id | notes | F1_mid | F2_mid | F3_mid | target | pred | error | prod_group | coart_type | diff
chaturvedi_shaw_2025_vowel_errors,chaturvedi_shaw_2025_vowel_errors__Data_Individual_files_ub_uhb_total_pred.csv,12122,23,Unnamed: 0 | p_id | file_name | time | vowel | counter | time_2 | meas_num | F1 | F2 | F3 | midpoint | id | notes | F1_mid | F2_mid | F3_mid | target | pred | error | prod_group | coart_type | diff
chaturvedi_shaw_2025_vowel_errors,chaturvedi_shaw_2025_vowel_errors__Data_all_tokens.csv,5439,32,Unnamed: 0.1 | Unnamed: 0 | p_id | file_name | time | vowel | counter | time_2 | meas_num | F1 | F2 | F3 | midpoint | id | notes | F1_mid | F2_mid | F3_mid | target | pred | error | prod_group | coart_type | diff | F1_c_mean | F2_c_mean | duration_c_mean | lratio_F1 | lratio_F2 | lratio_duration | is_error | lratio
cohn_zellou_2023_clear_speech,cohn_zellou_2023_clear_speech__utterance_nasality_formant_measurements.csv,2441,79,Filename | Utterance | Notes | X.Real.Time_Start | X.Real.Time_End | Duration | Intensity | RMS | Mean_f0 | Sd_f0 | Max_f0 | voicedcount | npause | originaldur.2 | speakingtot.2 | speakingrate.2 | articulationrate.2 | asd.3 | Participant | Age | Gender | L1 | OtherL1 | HearingIssues | Computer | Computer_Other | Style | Repetition | TargetWord | target_word_vowel | target_word_vowel_duration | target_word_vowel_F1_time2 | target_word_vowel_F1_time3 | target_word_vowel_F1_time4 | target_word_vowel_F1_time5 | target_word_vowel_F1_time6 | target_word_vowel_F2_time2 | target_word_vowel_F2_time3 | target_word_vowel_F2_time4 | target_word_vowel_F2_time5 | target_word_vowel_F2_time6 | target_word_vowel_F3_time2 | target_word_vowel_F3_time3 | target_word_vowel_F3_time4 | target_word_vowel_F3_time5 | target_word_vowel_F3_time6 | target_word_vowel_previous_sound | target_word_vowel_next_sound | A1P0_time2 | A1P0_time3 | A1P0_time4 | A1P0_time5 | A1P0_time6 | Vowel_duration | Vowel | Structure | Sentence | TargetSentence | TargetSentence2 | Speaker_mean_a1p0 | Speaker_sd_a1p0 | A1_P0_SpeakerCentered | A1_P0_SpeakerStandardized | Speaker_center_LMN | target_word_vowel_F1_time2_LMN | target_word_vowel_F1_time3_LMN | target_word_vowel_F1_time4_LMN | target_word_vowel_F1_time5_LMN | target_word_vowel_F1_time6_LMN | target_word_vowel_F2_time2_LMN | target_word_vowel_F2_time3_LMN | target_word_vowel_F2_time4_LMN | target_word_vowel_F2_time5_LMN | target_word_vowel_F2_time6_LMN | target_word_vowelspace_time2_LMN | target_word_vowelspace_time3_LMN | target_word_vowelspace_time4_LMN | target_word_vowelspace_time5_LMN | target_word_vowelspace_time6_LMN
cox_dideriksen_kerenportnoy_2023_danish_ids,cox_dideriksen_kerenportnoy_2023_danish_ids__VSA_combined.csv,48,5,Unnamed: 0 | Subject | VSA | SpeechStyle | type | VSA_z
cox_dideriksen_kerenportnoy_2023_danish_ids,cox_dideriksen_kerenportnoy_2023_danish_ids__data_vowels.csv,9267,23,Unnamed: 0 | Subject | time | vowel | stressed | short | focused | contentword | duration | F1 | F2 | F3 | SpeechStyle | F1_Mel | F2_Mel | F3_Mel | F1_z | F2_z | F3_z | ChildGender | ChildAge | Education | First_child
cox_dideriksen_kerenportnoy_2023_danish_ids,cox_dideriksen_kerenportnoy_2023_danish_ids__full_VSA_contword.csv,104,6,Unnamed: 0 | Subject | VSA | SpeechStyle | type | VSA_z
cox_dideriksen_kerenportnoy_2023_danish_ids,cox_dideriksen_kerenportnoy_2023_danish_ids__full_VSA_focused.csv,104,6,Unnamed: 0 | Subject | VSA | SpeechStyle | type | VSA_z
