speaker,path_dataVals,path_expt,size_dataVals,size_expt,md5_dataVals,md5_expt,sha256_dataVals,sha256_expt
sp019,varMod/acousticdata/sp019/dataVals.mat,varMod/acousticdata/sp019/expt.mat,49269997,1752702,9ad6c0e2abf4de056d702ed7e4fac255,63798cfb59a142193a041e1cd73a30eb,0da26355bcce4906f5515902a96c61773f5e8f6f1574e1db708e18bb9e4e1b41,9fa010df0ccd5f531d4daf0d44e26f823a4592beb30a880d226b4f47e01eca05
sp097,varMod/acousticdata/sp097/dataVals.mat,varMod/acousticdata/sp097/expt.mat,56976003,1710685,c2c20636aa4fc1bfc2ee526ac383cc2f,85ca972b5462f5de4998453d8ebf8273,58bae84a80c7781d1ef6be2dbec7e49d57ae3328346f666ee61b3d40818c66a8,d5e8c46c51eb92314cbada5e3c911e1d76115a5c9900b672e057c015977b831f
sp166,varMod/acousticdata/sp166/dataVals.mat,varMod/acousticdata/sp166/expt.mat,59864731,3900337,e89fd0b0d6d93b3965b21a6aa4b67c69,7227cfc3c6d0d633ed764b155edefd93,cd562d2d6c92b7ba08d8479daa854d04529029cf6da2ec83cfbe2315bd593e91,c78ccdc76615495b5c1ce49920062211ad4127d3946eadbf3bc4294675493f4a
sp169,varMod/acousticdata/sp169/dataVals.mat,varMod/acousticdata/sp169/expt.mat,44770756,2049758,103f87ad81d6c0297c7ac2a3ef7f491c,f1a37e4951b501e4216e1b6eea815bab,8514a9880386f683dc23fd16c480aa14b90603a1cab1a1fa19df362ebe78c0a8,42349090165262b0cba591b6376d777a68c84cb384e33de64d1919616434173e
sp170,varMod/acousticdata/sp170/dataVals.mat,varMod/acousticdata/sp170/expt.mat,46208832,2288792,5100f7b0440725a4d44a5e2382f0921a,86b74d92a513b4d3452702c07f53a1e3,cad845cb0a462b0a254d2b3c31ce2a9d5da566cae7c1f142f87ffd852b2224a1,43464ac43505c0746852b3326fc25b016496e1ec622a0b3d0e21cbbf9fc584e0
sp172,varMod/acousticdata/sp172/dataVals.mat,varMod/acousticdata/sp172/expt.mat,33582425,2261275,05abd02c50f258eb6602846ef052b537,a46287deb9f4ae8c81c592acd0a91f27,3a2222f6b027d6a584b0dea6c18b493b4150ecbc3f0f080d92541ec513643f74,086bb9c028abc32bc6860e87b840ecb83b72f6d7bace66de5ba634f44672ac77
sp173,varMod/acousticdata/sp173/dataVals.mat,varMod/acousticdata/sp173/expt.mat,67665646,1763534,33028d6a6b7fcf375579f74a144f194c,eb96306c8811e734a809113db242d5ed,029feea1df4aeb1c78f89338a7c4d7b27fa31d82df7b5578a54c6976010d1886,ebe71eea3d3e9530cb28a60ba32f721f10893628179a297abc18bbf35dde9621
sp174,varMod/acousticdata/sp174/dataVals.mat,varMod/acousticdata/sp174/expt.mat,69341979,1762696,f97f09c092e2aaffd5f521a4913f6415,bfdb9523cd8cf85d257a67e017c49b63,22aaadaefd9753a3c06526c08ef37bb1e0bbb4031bb503cc80872e0e681f3b44,ef62f0b6b5273ef6405e8a2e4a15cd080e867e64a515f30ad4138088ea0823b9
sp175,varMod/acousticdata/sp175/dataVals.mat,varMod/acousticdata/sp175/expt.mat,58497320,1729628,003ab30483a481e05c6bf5912bb13732,6b20f74e106f43273237ca086e22cc70,093810177a42ca59c73008396e7f5607c78c81c99a781ceebadae1d32d0cb830,2671cbec40974a68a21ab57f3735dd395332bddea7d47d4b39359cc109d2e2ea
sp189,varMod/acousticdata/sp189/dataVals.mat,varMod/acousticdata/sp189/expt.mat,52584528,1823404,0e0d394cc3f909582e7e5d2907c6623c,3998e8220643bb2abcb930a844d0e11b,a66215ac27d1142b76cdf5fb8cdcc53fa80b350b9097d3dc455479794af81514,a750161e9a59e08bcbe2185d72bdf2a9fd772e17c6a4c55e409f51cfad09714c
