source_id,original_variable,standardized_variable,variable_domain,description,units,time_reference_window,measurement_annotation_method,table_coverage,provenance,notes
tang_parrell_niziolek_2022_variability,subj,source_speaker_id,speaker,"Source participant index",,"condition/vowel summary",author-released summary,5 acoustic summary tables,OSF STJC9,"Namespace as tang_parrell_niziolek_2022_variability::subj"
tang_parrell_niziolek_2022_variability,vowel,vowel_source,segment_label,"Source vowel/category identifier",,"condition/vowel summary",author coding,9 tables,OSF STJC9,"Summary tables use numeric categories; regression tables also expose ae/eh/iy/aa labels. Preserve raw coding and map only from source documentation/code."
tang_parrell_niziolek_2022_variability,cond,condition,experimental_condition,"Experiment phase/condition",,"condition/vowel summary",author coding,5 acoustic summary tables,OSF STJC9,"Observed values include baseline, hold2, washout, holdIn, holdOut"
tang_parrell_niziolek_2022_variability,dura,vowel_duration_mean,temporal_measurement,"Mean vowel duration for source aggregation",s,"source aggregation window","vowel onset/offset initially automatic with landmark errors manually corrected",5 acoustic summary tables,OSF STJC9,"Preserve aggregation level; do not treat as token-level duration"
tang_parrell_niziolek_2022_variability,stddura,vowel_duration_sd,temporal_measurement,"Within-cell standard deviation of vowel duration",s,"source aggregation window","derived from corrected vowel intervals",5 acoustic summary tables,OSF STJC9,
tang_parrell_niziolek_2022_variability,RT,response_time_mean,temporal_measurement,"Mean response/reaction-time measure supplied by authors",s,"trial/utterance level aggregated to source cell",author-derived,5 acoustic summary tables,OSF STJC9,"Retain source definition from experiment code before cross-study harmonization"
tang_parrell_niziolek_2022_variability,stdRT,response_time_sd,temporal_measurement,"Standard deviation of response/reaction-time measure",s,"source aggregation window",author-derived,5 acoustic summary tables,OSF STJC9,
tang_parrell_niziolek_2022_variability,stdf1_init,f1_initial_sd,formant,"Standard deviation of F1 in source-defined initial-vowel window",Hz,"initial-vowel source window","offline formant tracking within corrected vowel landmarks",5 acoustic summary tables,OSF STJC9,"Exact window definition should be taken from released analysis code before canonical normalized-time mapping"
tang_parrell_niziolek_2022_variability,stdf2_init,f2_initial_sd,formant,"Standard deviation of F2 in source-defined initial-vowel window",Hz,"initial-vowel source window","offline formant tracking within corrected vowel landmarks",5 acoustic summary tables,OSF STJC9,
tang_parrell_niziolek_2022_variability,stdf1_mid,f1_mid_sd,formant,"Standard deviation of F1 in source-defined midpoint window",Hz,"mid-vowel source window","offline formant tracking within corrected vowel landmarks",5 acoustic summary tables,OSF STJC9,
tang_parrell_niziolek_2022_variability,stdf2_mid,f2_mid_sd,formant,"Standard deviation of F2 in source-defined midpoint window",Hz,"mid-vowel source window","offline formant tracking within corrected vowel landmarks",5 acoustic summary tables,OSF STJC9,
tang_parrell_niziolek_2022_variability,medf1,f1_median,formant,"Median F1 for source aggregation",Hz,"source-defined vowel aggregation","offline formant tracking within corrected vowel landmarks",5 acoustic summary tables,OSF STJC9,
tang_parrell_niziolek_2022_variability,medf2,f2_median,formant,"Median F2 for source aggregation",Hz,"source-defined vowel aggregation","offline formant tracking within corrected vowel landmarks",5 acoustic summary tables,OSF STJC9,
tang_parrell_niziolek_2022_variability,initdists,initial_formant_distance,derived_acoustic,"Source-defined F1/F2-space distance in initial window",source units,"initial-vowel source window",author-derived from F1/F2,5 acoustic summary tables,OSF STJC9,"Do not reinterpret distance geometry until code-level definition is traced"
tang_parrell_niziolek_2022_variability,middists,mid_formant_distance,derived_acoustic,"Source-defined F1/F2-space distance in midpoint window",source units,"mid-vowel source window",author-derived from F1/F2,5 acoustic summary tables,OSF STJC9,
tang_parrell_niziolek_2022_variability,area,formant_ellipse_area,derived_acoustic,"Source-defined vowel/formant variability ellipse area",source units,"source aggregation window",author-derived from formant distribution,5 acoustic summary tables,OSF STJC9,
tang_parrell_niziolek_2022_variability,centering,centering_raw,derived_acoustic,"Source-defined centering metric",source units,"source aggregation window",author-derived,5 acoustic summary tables,OSF STJC9,"Preserve raw measure and source code definition"
tang_parrell_niziolek_2022_variability,centperc,centering_percent,derived_acoustic,"Source-defined centering proportion/percentage metric",source units,"source aggregation window",author-derived,5 acoustic summary tables,OSF STJC9,
tang_parrell_niziolek_2022_variability,stdmajor,ellipse_major_axis_sd,derived_acoustic,"Source-defined major-axis variability metric",source units,"source aggregation window",author-derived from F1/F2 distribution,5 acoustic summary tables,OSF STJC9,
