source_id,file_or_table,original_variable,standardized_variable,variable_domain,description,units,datatype,coding_or_levels,missing_value_conventions,measurement_or_annotation_method,time_reference_or_window,anatomical_or_acoustic_target,provenance,notes
ulrich_russian_fricatives_2022,metadata,SentenceNo,source_sentence_id,stimulus,"Sentence identifier corresponding to filename",,integer,,,repository metadata documentation,,sentence,source_documented,"Namespace as source_id::SentenceNo when ingested."
ulrich_russian_fricatives_2022,metadata,IntervalNo,source_interval_id,annotation,"Interval number identifying target fricative in TextGrid tier 3",,integer,,,repository metadata documentation,target interval,target fricative,source_documented,"Pair with SentenceNo and speaker/session ID."
ulrich_russian_fricatives_2022,metadata,SentenceTyp,sentence_type,condition,"Sentence type",,categorical,"CS=carrier sentence; NC=non-carrier sentence",,repository metadata documentation,,utterance,source_documented,
ulrich_russian_fricatives_2022,metadata,Position,target_slot,condition,"Target location in carrier sentence",,categorical,"1=X position; 2=Y position",,repository metadata documentation,,target word/fricative,source_documented,
ulrich_russian_fricatives_2022,metadata,fricative position,word_position,segment_context,"Word position of target fricative",,categorical,"B=word-initial; M=word-medial; E=word-final",,repository metadata documentation,,target fricative,source_documented,
ulrich_russian_fricatives_2022,metadata,Sampa,original_segment_label,segment_annotation,"Target fricative transcription in SAMPA",,string,,,source metadata label,,target fricative,source_documented,"Retain exactly; do not replace with IPA."
ulrich_russian_fricatives_2022,metadata,IPA,normalized_ipa,segment_annotation,"Repository-supplied IPA transcription",,string,,,source metadata label,,target fricative,source_documented,"Safe to retain as source-provided IPA; do not infer missing IPA."
ulrich_russian_fricatives_2022,metadata,PrecedingSound,preceding_segment,segment_context,"Sound preceding target fricative",,string,,,source metadata label,,preceding segment,source_documented,"Preserve source transcription system as supplied."
ulrich_russian_fricatives_2022,metadata,FollowingSound,following_segment,segment_context,"Sound following target fricative",,string,,,source metadata label,,following segment,source_documented,"Preserve source transcription system as supplied."
ulrich_russian_fricatives_2022,metadata,Voicing,voicing_category,segment_feature,"Whether target fricative is voiced",,categorical,,,source metadata coding,,target fricative,source_documented,
ulrich_russian_fricatives_2022,metadata,Palatalization,palatalization_category,segment_feature,"Whether target fricative is palatalized",,categorical,,,source metadata coding,,target fricative,source_documented,
ulrich_russian_fricatives_2022,sentence_list,SentenceNo,source_sentence_id,stimulus,"Sentence identifier",,integer,,,repository documentation,,sentence,source_documented,
ulrich_russian_fricatives_2022,sentence_list,Russian sentence,stimulus_text,stimulus,"Recorded sentence in Russian",,string,,,source documentation,,utterance,source_documented,"Preserve exact orthography."
ulrich_russian_fricatives_2022,sentence_list,IPA,stimulus_ipa,stimulus,"Sentence transcription in IPA",,string,,,source documentation,,utterance,source_documented,"Source-provided IPA only."
ulrich_russian_fricatives_2022,sentence_list,target words,target_lexical_items,lexical,"Target words from which fricatives were extracted, in IPA",,string,,,source documentation,,target words,source_documented,
ulrich_russian_fricatives_2022,sentence_list,comments,source_comments,provenance,"Comments including malformed/exchanged/excluded sentence notes",,string,,,source documentation,,stimulus/selection,source_documented,"Never silently discard; needed to reconstruct exclusion lineage."
ulrich_russian_fricatives_2022,Recording_1/TextGrid,target_fricative_start,segment_start_s,interval,"Manually corrected start boundary of target fricative",seconds,numeric,,TextGrid empty/undefined conventions pending authorized file audit,"MAUS initial alignment followed by manual target-fricative boundary correction in Praat",absolute recording time,target fricative,manual_corrected,"Exact tier/field name pending file inspection; standardized concept documented, not invented as an original variable."
ulrich_russian_fricatives_2022,Recording_1/TextGrid,target_fricative_end,segment_end_s,interval,"Manually corrected end boundary of target fricative",seconds,numeric,,TextGrid empty/undefined conventions pending authorized file audit,"MAUS initial alignment followed by manual target-fricative boundary correction in Praat",absolute recording time,target fricative,manual_corrected,"Exact tier/field name pending file inspection; standardized concept documented, not invented as an original variable."
