source_id,file_table,original_variable,standardized_variable,variable_domain,description,units,datatype,coding_levels,missing_convention,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
voxangeles_manual_layer_2024,durations,lang,language_code,language,source language directory/code,,string,,,source label,,language,source-faithful,
voxangeles_manual_layer_2024,durations,file,recording_id,recording,source recording basename,,string,,,source label,,recording,source-faithful,"Namespace as voxangeles_manual_layer_2024::file"
voxangeles_manual_layer_2024,durations,word,lexical_item_original,lexical,word-tier label,,string,,,manually audited TextGrid word tier,,lexical item,manual-layer,
voxangeles_manual_layer_2024,durations,phone,phone_label_original,segment,phone-tier label,,string,,,manually corrected/audited phone tier,,segment,manual-layer,"Do not silently IPA-normalize unfamiliar symbols"
voxangeles_manual_layer_2024,durations,prec,preceding_segment_original,context,preceding phone label,,string,NA,,derived from adjacent audited phone interval,,segment context,manual-layer,
voxangeles_manual_layer_2024,durations,foll,following_segment_original,context,following phone label,,string,NA,,derived from adjacent audited phone interval,,segment context,manual-layer,
voxangeles_manual_layer_2024,durations,int,source_phone_index,segment,interval index within phone tier,,integer,,,Praat interval index,,segment,manual-layer,
voxangeles_manual_layer_2024,durations,pstart,segment_start_s,temporal,phone start time,s,numeric,,,Praat Get start time on manually corrected phone interval,absolute recording time,segment boundary,manual-layer,"Source rounded to 4 decimals in duration table"
voxangeles_manual_layer_2024,durations,pend,segment_end_s,temporal,phone end time,s,numeric,,,Praat Get end time on manually corrected phone interval,absolute recording time,segment boundary,manual-layer,"Source rounded to 4 decimals in duration table"
voxangeles_manual_layer_2024,durations,wstart,word_start_s,temporal,word start time,s,numeric,,,Praat word tier,absolute recording time,word boundary,manual-layer,
voxangeles_manual_layer_2024,durations,wend,word_end_s,temporal,word end time,s,numeric,,,Praat word tier,absolute recording time,word boundary,manual-layer,
voxangeles_manual_layer_2024,f0_deciles,f0_1..f0_10,f0_hz,acoustic,F0 trajectory samples,Hz,numeric,,,Praat To Pitch 75-500 Hz + linear value-at-time,"10%,20%,...,100% of audited vowel duration",vocal-fold fundamental frequency,derived-from-manual-interval,"Preserve all ten original samples; normalized_time = 0.1..1.0 as separate derived field"
voxangeles_manual_layer_2024,f0_deciles,pstart/pend,segment_start_s/segment_end_s,temporal,audited vowel interval bounds,s,numeric,,,manually corrected TextGrid bounds; source rounded to 2 decimals,absolute recording time,vowel boundary,manual-layer,
voxangeles_manual_layer_2024,formants_deciles,f1_1..f1_10,f1_hz,acoustic,F1 trajectory samples,Hz,numeric,,,Praat Burg formant extraction,"10%,20%,...,100% of audited vowel duration",first formant,derived-from-manual-interval,"5 formants estimated internally; F1-F3 exported; preserve all samples"
voxangeles_manual_layer_2024,formants_deciles,f2_1..f2_10,f2_hz,acoustic,F2 trajectory samples,Hz,numeric,,,Praat Burg formant extraction,"10%,20%,...,100% of audited vowel duration",second formant,derived-from-manual-interval,"Preserve all samples"
voxangeles_manual_layer_2024,formants_deciles,f3_1..f3_10,f3_hz,acoustic,F3 trajectory samples,Hz,numeric,,,Praat Burg formant extraction,"10%,20%,...,100% of audited vowel duration",third formant,derived-from-manual-interval,"Preserve all samples"
voxangeles_manual_layer_2024,formants_deciles,pstart/pend,segment_start_s/segment_end_s,temporal,audited vowel interval bounds,s,numeric,,,manually corrected TextGrid bounds; source rounded to 2 decimals,absolute recording time,vowel boundary,manual-layer,
voxangeles_manual_layer_2024,f0_quartiles,f0_1..f0_4,f0_hz,acoustic,F0 trajectory samples,Hz,numeric,,,same source extraction with four sampling intervals,"25%,50%,75%,100% of audited vowel duration",vocal-fold fundamental frequency,derived-from-manual-interval,"Overlapping alternate representation; do not count as independent tokens"
voxangeles_manual_layer_2024,formants_quartiles,f1_1..f1_4,f1_hz,acoustic,F1 trajectory samples,Hz,numeric,,,same source extraction with four sampling intervals,"25%,50%,75%,100% of audited vowel duration",first formant,derived-from-manual-interval,"Overlapping alternate representation"
voxangeles_manual_layer_2024,formants_quartiles,f2_1..f2_4,f2_hz,acoustic,F2 trajectory samples,Hz,numeric,,,same source extraction with four sampling intervals,"25%,50%,75%,100% of audited vowel duration",second formant,derived-from-manual-interval,"Overlapping alternate representation"
voxangeles_manual_layer_2024,formants_quartiles,f3_1..f3_4,f3_hz,acoustic,F3 trajectory samples,Hz,numeric,,,same source extraction with four sampling intervals,"25%,50%,75%,100% of audited vowel duration",third formant,derived-from-manual-interval,"Overlapping alternate representation"
voxangeles_manual_layer_2024,meanf0_file,meanf0,recording_mean_f0_hz,acoustic,file-level mean F0,Hz,numeric,,,Praat file-level pitch extraction,file summary,vocal-fold fundamental frequency,derived,"Used by source formant script to select 5000 vs 5500-Hz formant ceiling"
