source_id,source_utterance_id,segment_index,original_label,end_s_relative,source_file,source_blob_sha
pavoque,pavoque::m0194,1,H#,0.535,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,2,m,0.56083,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,3,a,0.63,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,4,n,0.67,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,5,S,0.76,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,6,p,0.854547,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,7,R,0.89,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,8,I,0.955,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,9,C,1.068219,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,10,t,1.105075,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,11,d,1.14,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,12,E,1.235,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,13,s,1.36,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,14,v,1.395,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,15,e:,1.535,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,16,g,1.575,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,17,@,1.589121,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,18,n,1.655,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,19,f,1.725,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,20,O,1.79,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,21,n,1.81,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,22,?,1.875,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,23,aI,1.93,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,24,n,1.96,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,25,@,2.0,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,26,m,2.065,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,27,z,2.155,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,28,i:,2.274649,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,29,r,2.335,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,30,@,2.395661,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,31,U,2.465,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,32,n,2.565,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,33,O,2.67,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,34,l,2.715,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,35,I,2.781423,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,36,d,2.815208,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,37,Z,2.895,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,38,p,2.974763,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,39,R,3.012939,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,40,o:,3.094702,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,41,t,3.155,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,42,o:,3.219399,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,43,k,3.334984,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,44,O,3.465,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,45,l,3.56462,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0194,46,_,4.855,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
