source_id,source_utterance_id,source_segment_index,label_original,normalized_ipa,relative_start_s,relative_end_s,duration_s,absolute_start_s,absolute_end_s,source_file,source_blob_sha
pavoque,pavoque::m0192,1,H#,,0.000000,0.149850,0.149850,922.800000,922.949850,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,2,d,,0.149850,0.189959,0.040109,922.949850,922.989959,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,3,i:,,0.189959,0.317511,0.127552,922.989959,923.117511,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,4,b,,0.317511,0.416147,0.098636,923.117511,923.216147,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,5,aU,,0.416147,0.603086,0.186939,923.216147,923.403086,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,6,v,,0.603086,0.649146,0.046060,923.403086,923.449146,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,7,aI,,0.649146,0.805000,0.155854,923.449146,923.605000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,8,z,,0.805000,0.885000,0.080000,923.605000,923.685000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,9,@,,0.885000,0.943320,0.058320,923.685000,923.743320,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,10,?,,0.943320,0.965429,0.022109,923.743320,923.765429,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,11,I,,0.965429,1.000000,0.034571,923.765429,923.800000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,12,s,,1.000000,1.064305,0.064305,923.800000,923.864305,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,13,t,,1.064305,1.127023,0.062718,923.864305,923.927023,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,14,f,,1.127023,1.175000,0.047977,923.927023,923.975000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,15,O,,1.175000,1.243634,0.068634,923.975000,924.043634,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,16,m,,1.243634,1.308119,0.064485,924.043634,924.108119,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,17,b,,1.308119,1.394336,0.086217,924.108119,924.194336,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,18,o:,,1.394336,1.568514,0.174178,924.194336,924.368514,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,19,d,,1.568514,1.614649,0.046135,924.368514,924.414649,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,20,@,,1.614649,1.625000,0.010351,924.414649,924.425000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,21,n,,1.625000,1.681516,0.056516,924.425000,924.481516,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,22,?,,1.681516,1.770000,0.088484,924.481516,924.570000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,23,a,,1.770000,1.845000,0.075000,924.570000,924.645000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,24,p,,1.845000,1.920000,0.075000,924.645000,924.720000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,25,h,,1.920000,1.960000,0.040000,924.720000,924.760000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,26,E,,1.960000,2.035000,0.075000,924.760000,924.835000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,27,N,,2.035000,2.090000,0.055000,924.835000,924.890000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,28,I,,2.090000,2.205000,0.115000,924.890000,925.005000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,29,C,,2.205000,2.417871,0.212871,925.005000,925.217871,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::m0192,30,_,,2.417871,3.655000,1.237129,925.217871,926.455000,pavoque-angry.yaml,bff79d978f740f6c2b09bc595ade03b6bdf33423
