parish;token;cog;vot;pal;height;backness;round;stop;stress;.obs
Agerskov;tæ2;4305;63.3;negpal;mid;front;negrd;t;str;1
Agerskov;ty1;4157;46.5;negpal;high;front;rd;t;negstr;2
Agerskov;pø2;1883;34.4;negpal;mid;front;rd;p;str;3
Agerskov;te1;5492;50.3;negpal;high;front;negrd;t;negstr;4
Agerskov;kø1;2713;66.2;negpal;mid;front;rd;k;negstr;5
Agerskov;te1;6077;55.9;negpal;high;front;negrd;t;negstr;6
Agerskov;ku1;1966;57.6;negpal;high;back;rd;k;negstr;7
Agerskov;koe1;2959;61.4;negpal;low;central;negrd;k;negstr;8
Agerskov;kø2;2679;69.6;negpal;mid;front;rd;k;str;9
Agerskov;par1;2180;28.2;negpal;low;central;negrd;p;negstr;10
Agerskov;ty2;5683;83.9;negpal;high;front;rd;t;str;11
Agerskov;koe1;3556;50;negpal;low;central;negrd;k;negstr;12
Agerskov;te1;4271;52.6;negpal;high;front;negrd;t;negstr;13
Agerskov;kø1;2611;77;negpal;mid;front;rd;k;negstr;14
Agerskov;ku1;2970;41.6;negpal;high;back;rd;k;negstr;15
Agerskov;koe1;3613;56.9;negpal;low;central;negrd;k;negstr;16
Agerskov;te1;5009;99.2;negpal;high;front;negrd;t;negstr;17
Agerskov;to1;3895;57.7;negpal;mid;back;rd;t;negstr;18
Agerskov;koe1;3427;53.9;negpal;low;central;negrd;k;negstr;19
Agerskov;kæ2;2910;58.2;negpal;mid;front;negrd;k;str;20
Agerskov;tæ1;5563;45.3;negpal;mid;front;negrd;t;negstr;21
Agerskov;te1;5019;52.5;negpal;high;front;negrd;t;negstr;22
Agerskov;koe1;2360;69.4;negpal;low;central;negrd;k;negstr;23
Agerskov;kø2;2907;50.8;negpal;mid;front;rd;k;str;24
Agerskov;kø1;2370;54.3;negpal;mid;front;rd;k;negstr;25
Agerskov;ty2;3463;61.4;negpal;high;front;rd;t;str;26
Agerskov;te1;4426;43.5;negpal;high;front;negrd;t;negstr;27
Agerskov;toe2;2965;42.7;negpal;low;central;negrd;t;str;28
Agerskov;tx1;4054;53.9;negpal;mid;central;negrd;t;negstr;29
Agerskov;ty2;3902;48.6;negpal;high;front;rd;t;str;30
Agerskov;ku1;1949;53.1;negpal;high;back;rd;k;negstr;31
Agerskov;par1;1482;10.2;negpal;low;central;negrd;p;negstr;32
Agerskov;ta2;4109;54;negpal;low;front;negrd;t;str;33
Agerskov;tæ2;3905;78;negpal;mid;front;negrd;t;str;34
Agerskov;ta2;3706;54.4;negpal;low;front;negrd;t;str;35
Agerskov;te1;3485;83.1;negpal;high;front;negrd;t;negstr;36
Agerskov;toe1;3982;86.4;negpal;low;central;negrd;t;negstr;37
Agerskov;ku1;2566;40.9;negpal;high;back;rd;k;negstr;38
Agerskov;to1;3910;89.3;negpal;mid;back;rd;t;negstr;39
Agerskov;te1;4133;68.6;negpal;high;front;negrd;t;negstr;40
Agerskov;koe1;2106;48.7;negpal;low;central;negrd;k;negstr;41
Agerskov;te1;4482;46.1;negpal;high;front;negrd;t;negstr;42
Agerskov;koe1;2760;54;negpal;low;central;negrd;k;negstr;43
Agerskov;tar1;5279;41.9;negpal;low;central;negrd;t;negstr;44
Agerskov;ku2;2301;33.1;negpal;high;back;rd;k;str;45
Agerskov;ku1;3179;43.8;negpal;high;back;rd;k;negstr;46
Agerskov;ku1;1497;32.5;negpal;high;back;rd;k;negstr;47
Agerskov;kø2;2756;44.3;negpal;mid;front;rd;k;str;48
Agerskov;po1;2287;35.7;negpal;mid;back;rd;p;negstr;49
Agerskov;te1;4741;77.2;negpal;high;front;negrd;t;negstr;50
Ajstrup;ti2;2273;46.8;negpal;high;front;negrd;t;str;51
Ajstrup;tør2;2577;32;negpal;low;front;rd;t;str;52
Ajstrup;ty1;2345;39.8;negpal;high;front;rd;t;negstr;53
Ajstrup;te1;1750;42.5;negpal;high;front;negrd;t;negstr;54
Ajstrup;to1;3293;27.8;negpal;mid;back;rd;t;negstr;55
Ajstrup;koe1;947;36.2;negpal;low;central;negrd;k;negstr;56
Ajstrup;te1;4739;44.7;negpal;high;front;negrd;t;negstr;57
