source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
puggaard_rode_2023_jutland_t,affric.csv,parish,recording_location,geography,Parish associated with recording/speaker,,string,,,source metadata,,location,upstream affric.csv,
puggaard_rode_2023_jutland_t,affric.csv,token,original_token_transcription,lexical_phonetic_context,Makeshift phonetic transcription of syllable containing stop,,string,,,author transcription,,syllable,upstream affric.csv,Retain verbatim; do not invent IPA
puggaard_rode_2023_jutland_t,affric.csv,cog,spectral_centre_of_gravity_hz,acoustic_measurement,Centre of gravity estimate from Praat,Hz,integer,,,Praat spectral extraction,release spectrum,stop release,upstream affric.csv,Source says not used in ICPhS analysis but retained
puggaard_rode_2023_jutland_t,affric.csv,vot,voice_onset_time_ms,temporal_measurement,Voice onset time of stop token,ms,float,,,Derived from manually identified release/voicing landmarks,,stop release to voicing onset,upstream affric.csv,Manual-provenance/core eligibility assessed by stop/lineage
puggaard_rode_2023_jutland_t,affric.csv,pal,palatalization_condition,segment_context,Palatalization category,,categorical,pal;negpal,,derived from token transcription,,stop/context,upstream affric.csv,
puggaard_rode_2023_jutland_t,affric.csv,height,following_vowel_height,segment_context,Following vowel height category,,categorical,high;mid;low,,derived from token transcription,,following vowel,upstream affric.csv,
puggaard_rode_2023_jutland_t,affric.csv,backness,following_vowel_backness,segment_context,Following vowel backness category,,categorical,front;central;back,,derived from token transcription,,following vowel,upstream affric.csv,
puggaard_rode_2023_jutland_t,affric.csv,round,following_vowel_rounding,segment_context,Following vowel rounding category,,categorical,rd;negrd,,derived from token transcription,,following vowel,upstream affric.csv,
puggaard_rode_2023_jutland_t,affric.csv,stop,segment_label,segment_annotation,Stop phoneme category,,categorical,p;t;k,,author coding,,stop,upstream affric.csv,
puggaard_rode_2023_jutland_t,affric.csv,stress,stress_condition,prosody,Stress category,,categorical,str;negstr,,derived from token transcription/prosodic coding,,syllable,upstream affric.csv,
puggaard_rode_2023_jutland_t,affric.csv,.obs,source_token_id,identifier,Numeric source observation identifier,,integer,,,author-generated row identifier,,token,upstream affric.csv,Namespace as puggaard_rode_2023_jutland_t::.obs in harmonized layer
puggaard_rode_2023_jutland_t,participant_info.csv,parish,recording_location,geography,Parish,,string,,,,,speaker location,upstream participant_info.csv,
puggaard_rode_2023_jutland_t,participant_info.csv,parishno,source_parish_number,identifier,Source parish number,,integer,,,,,location,upstream participant_info.csv,
puggaard_rode_2023_jutland_t,participant_info.csv,tape_id,source_recording_id,recording_metadata,Legacy corpus tape identifier,,integer,,,,,recording,upstream participant_info.csv,Namespace in harmonized recording table
puggaard_rode_2023_jutland_t,participant_info.csv,birthyear,birth_year,demographic,Speaker birth year,year,integer,,NA,,calendar year,speaker,upstream participant_info.csv,
puggaard_rode_2023_jutland_t,participant_info.csv,gender,gender,demographic,Speaker gender as supplied by source,,categorical,male;female,,source metadata,,speaker,upstream participant_info.csv,Preserve original label
puggaard_rode_2023_jutland_t,participant_info.csv,year,recording_year,recording_metadata,Year of recording,year,integer,,,,calendar year,recording,upstream participant_info.csv,
puggaard_rode_2023_jutland_t,participant_info.csv,dialect,variety_label,language_variety,Traditional Jutland dialect area,,categorical,,,source coding,,speaker/location,upstream participant_info.csv,Preserve Danish labels verbatim
puggaard_rode_2023_jutland_t,participant_info.csv,rec_age,age_at_recording,demographic,Speaker age at recording,years,integer,,NA,derived/source supplied,recording time,speaker,upstream participant_info.csv,
