source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
ruthven_2023_rtmri_gt,MRI_SSFP_10fps/<volunteer>/image_N.dcm,image_N,image_number,recording/frame,"Frame index within a volunteer's real-time MRI series",index,integer,"1..N per volunteer",UNKNOWN,"scanner-generated frame sequence","0.1 s temporal resolution between frames",midsagittal vocal tract,"Zenodo dataset description","Preserve source filename and volunteer folder; do not infer utterance word from frame alone"
ruthven_2023_rtmri_gt,MRI_SSFP_10fps/<volunteer>/image_N.dcm,pixel_array,mri_pixel_intensity,articulatory_imaging,"Reconstructed midsagittal rt-MRI image",scanner intensity,numeric_matrix,"256x256 reconstructed matrix",UNKNOWN,"3.0 T Philips TX Achieva SSFP acquisition","single frame; 0.1 s frame period","head and vocal tract","Zenodo dataset description","Acquired matrix 120x93; scanner zero-padded reconstruction to 256x256"
ruthven_2023_rtmri_gt,MRI_SSFP_10fps/<volunteer>/image_N.dcm,in_plane_pixel_size,reconstructed_pixel_size_mm,recording/equipment,"Reconstructed in-plane pixel spacing",mm,float_pair,"1.17 x 1.17",NONE,"scanner reconstruction",constant for dataset,midsagittal image,"Zenodo dataset description","Acquired in-plane pixel size reported as 2.50 x 2.45 mm2 before zero padding"
ruthven_2023_rtmri_gt,MRI_SSFP_10fps/<volunteer>/image_N.dcm,slice_thickness,slice_thickness_mm,recording/equipment,"Midsagittal slice thickness",mm,float,"10",NONE,"MRI acquisition",constant for dataset,midsagittal vocal tract,"Zenodo dataset description","Retain as equipment/acquisition metadata"
ruthven_2023_rtmri_gt,MRI_SSFP_10fps/<volunteer>/image_N.dcm,temporal_resolution,frame_interval_s,temporal,"Time between successive images",s,float,"0.1",NONE,"MRI acquisition",frame-to-frame,midsagittal vocal tract,"Zenodo dataset description","Do not collapse trajectories to midpoint frames"
ruthven_2023_rtmri_gt,GT_Segmentations/<volunteer>/mask_N.mat,mask,articulator_segmentation_class,articulatory_annotation,"Manual pixelwise ground-truth segmentation aligned to image_N.dcm",class_code,integer_matrix,"0=background;1=head;2=soft palate;3=jaw;4=tongue;5=vocal tract;6=tooth space",UNKNOWN,"manual pixel labelling by MRI physicist with four years of speech-MRI experience",same frame as image_N.dcm,"head; soft palate; jaw; tongue; vocal tract; tooth space","Zenodo dataset description and associated Scientific Data article","Head/jaw/tongue labels aggregate multiple anatomical structures as documented by authors"
ruthven_2023_rtmri_gt,velopharyngeal_closure.xlsx,row_number,image_number,recording/frame,"Spreadsheet row corresponds to MRI image number",index,integer,"1..N per volunteer sheet",UNKNOWN,"author-provided indexing","same frame as image_N.dcm",velopharyngeal port,"Zenodo dataset description","One sheet per volunteer"
ruthven_2023_rtmri_gt,velopharyngeal_closure.xlsx,closure_label,velopharyngeal_closure,articulatory_annotation,"Whether soft palate contacts posterior pharyngeal wall",binary,integer,"0=no contact;1=contact",UNKNOWN,"four MRI physicists independently visually labelled each image; majority vote retained as GT",single MRI frame,"soft palate/posterior pharyngeal wall","Zenodo dataset description and associated Scientific Data article","Preserve majority-vote GT; individual-rater labels are not stated to be distributed"
ruthven_2023_rtmri_gt,dataset_metadata,volunteer,source_speaker_id,participant,"Volunteer identifier encoded by source folder/sheet",source label,string,"five volunteers",UNKNOWN,"source organization",series-level,speaker,"Zenodo dataset description","Namespace downstream as ruthven_2023_rtmri_gt::source_volunteer_id; individual age/sex mapping must not be invented from aggregate metadata"
ruthven_2023_rtmri_gt,dataset_metadata,task,task,condition,"Speech task: count once from 1 to 10 in English at self-selected normal rate",text,string,"counting 1-10; normal rate",NONE,"experimental instruction",series-level,speech production,"Zenodo dataset description","Five healthy adults; two female and three male; ages 24-28 reported only in aggregate"
