source_id,file_table,original_variable,standardized_variable,variable_domain,description_meaning,units,datatype,coding_levels,missing_value_conventions,measurement_annotation_method,time_reference_window,anatomical_acoustic_target,provenance,notes
SPIRE_VCV,corpus_metadata,Subject,speaker_id,participant,source speaker identifier,,string,"F1,M1,F2,M2,F3,M3,F4,M4,F5,M5",unknown,source metadata,,speaker,"SPIRE official corpus page","namespace as SPIRE_VCV::Subject"
SPIRE_VCV,corpus_metadata,Age,age_years,demographic,speaker age,years,integer,"20-27 in published table",unknown,source metadata,,speaker,"SPIRE official corpus page","retain raw integer"
SPIRE_VCV,corpus_metadata,Gender,gender_source,demographic,source gender label,,categorical,"Female;Male",unknown,source metadata,,speaker,"SPIRE official corpus page","do not recode destructively"
SPIRE_VCV,corpus_metadata,Native Language,l1_language,language,speaker native language,,categorical,"Bengali;Tulu;Tamil;Kannada;Malayalam;Hindi",unknown,source metadata,,speaker,"SPIRE official corpus page","retain original spelling"
SPIRE_VCV,stimulus,Vowel,vowel_label,stimulus,source vowel category,,categorical,"/a/;/e/;/i/;/o/;/u/",unknown,stimulus design,,vowel,"SPIRE official corpus page","source notation is not silently converted to IPA"
SPIRE_VCV,stimulus,Consonant,consonant_label,stimulus,source consonant category,,categorical,"/b/;/ch/;/d/;/f/;/g/;/jh/;/k/;/l/;/m/;/n/;/ng/;/p/;/r/;/s/;/t/;/v/;/z/",unknown,stimulus design,,consonant,"SPIRE official corpus page","source labels preserved; no IPA invented"
SPIRE_VCV,trial,Speed,speaking_rate_condition,condition,elicited speaking-rate condition,,categorical,"slow;normal/habitual;fast",unknown,GUI elicitation,,utterance,"SPIRE official corpus page","three repetitions per rate"
SPIRE_VCV,trial,repetition,repetition,condition,repetition within VCV x rate,,integer,"1-3",unknown,stimulus design,,utterance,"derived from documented factorial design","only populate from file identity/metadata when available"
SPIRE_VCV,annotation,VCV_boundary_start,interval_start_s,temporal_annotation,start boundary of manually delimited VCV region,seconds,numeric,,unknown,"manual; four-member team; MATLAB tool using wideband spectrogram waveform and glottal pulses",recording time,VCV,"SPIRE official corpus page","exact source field name pending archive access"
SPIRE_VCV,annotation,VCV_boundary_end,interval_end_s,temporal_annotation,end boundary of manually delimited VCV region,seconds,numeric,,unknown,"manual; four-member team; MATLAB tool using wideband spectrogram waveform and glottal pulses",recording time,VCV,"SPIRE official corpus page","exact source field name pending archive access"
SPIRE_VCV,EMA,UL_xyz,ema_upper_lip_xyz,articulatory,upper-lip 3D position,source coordinate units,numeric trajectory,,unknown,"AG501; sampled 250 Hz; 10th-order Chebyshev II low-pass 40 Hz",sampled trajectory,upper lip,"SPIRE official corpus page","preserve every original sample and coordinate field"
SPIRE_VCV,EMA,LL_xyz,ema_lower_lip_xyz,articulatory,lower-lip 3D position,source coordinate units,numeric trajectory,,unknown,"AG501; sampled 250 Hz; 10th-order Chebyshev II low-pass 40 Hz",sampled trajectory,lower lip,"SPIRE official corpus page","preserve every original sample and coordinate field"
SPIRE_VCV,EMA,JAW_xyz,ema_jaw_xyz,articulatory,jaw 3D position,source coordinate units,numeric trajectory,,unknown,"AG501; sampled 250 Hz; 10th-order Chebyshev II low-pass 40 Hz",sampled trajectory,jaw,"SPIRE official corpus page","preserve every original sample and coordinate field"
SPIRE_VCV,EMA,TT_xyz,ema_tongue_tip_xyz,articulatory,tongue-tip 3D position,source coordinate units,numeric trajectory,,unknown,"AG501; sampled 250 Hz; 10th-order Chebyshev II low-pass 40 Hz",sampled trajectory,tongue tip,"SPIRE official corpus page","preserve every original sample and coordinate field"
SPIRE_VCV,EMA,TB_xyz,ema_tongue_body_xyz,articulatory,tongue-body 3D position,source coordinate units,numeric trajectory,,unknown,"AG501; sampled 250 Hz; 10th-order Chebyshev II low-pass 40 Hz",sampled trajectory,tongue body,"SPIRE official corpus page","preserve every original sample and coordinate field"
SPIRE_VCV,EMA,TD_xyz,ema_tongue_dorsum_xyz,articulatory,tongue-dorsum 3D position,source coordinate units,numeric trajectory,,unknown,"AG501; sampled 250 Hz; 10th-order Chebyshev II low-pass 40 Hz",sampled trajectory,tongue dorsum,"SPIRE official corpus page","preserve every original sample and coordinate field"
